configuracion,modelo,auc_roc,auc_pr,auc_pr_std,recall,precision,f1
sin_balanceo,LogisticRegression,0.6685750753597193,0.28534322294586795,0.004395197542270571,0.00293040293040293,0.5276942355889724,0.005825781987580276
class_weight_balanced,LogisticRegression,0.6685983409615123,0.28520913824373284,0.004392301863060857,0.5944090996722575,0.26388937995219885,0.3655000038470121
undersampling_0.5,LogisticRegression,0.6684712752215568,0.28515272588127544,0.004347501793093105,0.243609022556391,0.3218221625010203,0.2772507185745948
undersampling_1_1,LogisticRegression,0.6685241558272886,0.2848838450711753,0.004325787820982862,0.6008868324657798,0.2631708352670378,0.3660274949102464
class_weight+undersamp,LogisticRegression,0.6685241558272886,0.2848838450711753,0.004325787820982862,0.6008868324657798,0.2631708352670378,0.3660274949102464
sin_balanceo,GradientBoosting,0.6679528215179096,0.284411743278827,0.005006478713173175,0.0014652014652014652,0.39236596736596735,0.0029148272430154784
undersampling_0.5,GradientBoosting,0.6673556350722608,0.2839644544262414,0.0049051842547605745,0.18276460381723542,0.33460525898559146,0.2361566318399976
undersampling_1_1,GradientBoosting,0.6670424600573696,0.2830374040121679,0.005263654822323563,0.6728359359938307,0.24950507293018603,0.3639649861172511
class_weight_balanced,LightGBM,0.665373411082897,0.2812971896447598,0.005010238606487746,0.6445729708887603,0.2527694221307968,0.36312254229550184
sin_balanceo,LightGBM,0.6663728234524104,0.2807638285269562,0.005246005292772702,0.005205320994794678,0.44964873236295216,0.010288362945235871
undersampling_0.5,LightGBM,0.6654600728078766,0.27926869411844224,0.004769543876470425,0.1970695970695971,0.32371899203110877,0.24489441786077487
undersampling_1_1,LightGBM,0.6646486903841389,0.2783486654982332,0.00370640355141842,0.6677077308656256,0.24932005117167516,0.3630601165623288
class_weight+undersamp,LightGBM,0.6646486903841389,0.2783486654982332,0.00370640355141842,0.6677077308656256,0.24932005117167516,0.3630601165623288
undersampling_0.5,RandomForest,0.6571783545897285,0.26796601694123506,0.0033532771928157785,0.17281665702718335,0.31731514927013893,0.22369763633217996
undersampling_1_1,RandomForest,0.6580419610792061,0.2668675634183915,0.004312133819155331,0.6444958550221708,0.2502638415565238,0.36052481362531164
class_weight_balanced,RandomForest,0.6576506383810281,0.2667813708253183,0.0028847633234704837,0.07160208212839791,0.33434709754438874,0.11790247870952739
class_weight+undersamp,RandomForest,0.6583285170880383,0.2663949701972103,0.0038676946668605105,0.6461538461538462,0.2505213047107969,0.3610511731856055
sin_balanceo,RandomForest,0.6510126803046262,0.26290646131153383,0.003048865068887119,0.00038557933294775394,0.22000000000000003,0.0007697489336179194
class_weight_balanced,XGBoost,0.6485613720880888,0.2612030472922215,0.0032223578099407723,0.01962598804704068,0.34927098243567467,0.03713638279859953
sin_balanceo,XGBoost,0.6485613720880888,0.2612030472922215,0.0032223578099407723,0.01962598804704068,0.34927098243567467,0.03713638279859953
undersampling_0.5,XGBoost,0.6442715087027173,0.25881207725736044,0.004237981048298658,0.24129554655870447,0.2883725713917594,0.26269567326922416
undersampling_1_1,XGBoost,0.6401463055472943,0.2561640418480823,0.0037628170421449727,0.6244842876421824,0.24017539695364326,0.3469213653334009
class_weight+undersamp,XGBoost,0.6401463055472943,0.2561640418480823,0.0037628170421449727,0.6244842876421824,0.24017539695364326,0.3469213653334009
